"country","Postpone 2020 SIAs until 2021, DynaMICE","Postpone 2020 SIAs until 2021, Penn State","Postpone 2020 SIAs until 2021, IDM","50% reduction in RI, DynaMICE","50% reduction in RI, Penn State","50% reduction in RI, IDM","50% reduction in RI, postpone 2020 SIAs until 2021, DynaMICE","50% reduction in RI, postpone 2020 SIAs until 2021, Penn State","50% reduction in RI, postpone 2020 SIAs until 2021, IDM"
"BGD",0,593,NA,6552,-539,NA,578,276,NA
"ETH",79384,-473,-2783,66678,40,29951,29241,-946,25981
"KEN",0,64,NA,0,-40,NA,0,59,NA
"NGA",-634,137,7777,-3016,3919,17545,-2430,3427,26559
"SSD",-9229,-1298,NA,4493,44,NA,-10485,-1316,NA
"TCD",-4460,260,NA,5125,35,NA,-333,29,NA
