"country","50% RI, DynaMICE","50% RI, Penn State","50% RI, IDM","Postpone 2020 SIAs -> 2021, DynaMICE","Postpone 2020 SIAs -> 2021, Penn State","Postpone 2020 SIAs -> 2021, IDM","50% RI, postpone 2020 SIAs -> 2021, DynaMICE","50% RI, postpone 2020 SIAs -> 2021, Penn State","50% RI, postpone 2020 SIAs -> 2021, IDM"
"BGD",0.35,-0.03,NA,0,0.03,NA,0.03,0.01,NA
"ETH",4.67,0,2.1,5.56,-0.03,-0.19,2.05,-0.07,1.82
"KEN",0,-0.01,NA,0,0.01,NA,0,0.01,NA
"NGA",-0.12,0.15,0.68,-0.02,0.01,0.3,-0.09,0.13,1.03
"SSD",3.28,0.03,NA,-6.73,-0.95,NA,-7.65,-0.96,NA
"TCD",2.45,0.02,NA,-2.13,0.12,NA,-0.16,0.01,NA
