"Scenario","Measles, DynaMICE","Measles, IDM","Measles, Penn State","Meningitis A, Cambridge","Meningitis A, KP","Yellow fever, Imperial","Yellow fever, Notre Dame"
"BAU",0,0,0,0,0,0,0
"50% RI",1.15686904959505,1.18729683066364,0.0501293380793902,0.00195964693836847,6.45609276531546e-05,0.147395176283716,0.0754581629815379
"Postpone 2020 SIAs -> 2021",0.942827676248422,0.124844414069476,-0.0103658076202102,0.00421621007952004,-5.30570281428044e-05,-0.0584411512404706,-0.0102704224072411
"50% RI, postpone 2020 SIAs -> 2021",0.240128968909478,1.31340439268592,0.0221682175411655,0.00638369835983668,1.93648450538937e-06,0.0875650027022582,0.0536154573438828
